hg19_1540	Barski_lab	CD4_Tcells	POLR2A	CD4+_T_cells+invitrogen	Unpublished	T_lymphocyte	EBV-	human
hg19_1543	Barski_lab	Naive_CD4_Tcell	FOS	Naive_CD4_T_cells+EI12h	Unpublished	T_lymphocyte	EBV-	human
hg19_1544	Barski_lab	Naive_CD4_Tcell	NFATC1	Naive_CD4_Tcell_EI_5h_3	Unpublished	T_lymphocyte	EBV-	human
hg19_1541	Barski_lab	Naive_CD4_Tcell	NFATC2	Naive_CD4_Tcell_EI_5h_6	Unpublished	T_lymphocyte	EBV-	human
hg19_1542	Barski_lab	Naive_CD4_Tcell	NFKB1	Naive_CD4_Tcell_EI_5h_2	Unpublished	T_lymphocyte	EBV-	human
hg19_0101	Cistrome_ChIP	CUTLL1	BRD4	CUTLL1	22495751	T_lymphocyte	EBV-	human
hg19_0370	Cistrome_ChIP	CUTLL1	EP300	CUTLL1	22495751	T_lymphocyte	EBV-	human
hg19_0417	Cistrome_ChIP	CUTLL1	ETS1	CUTLL1	22495751	T_lymphocyte	EBV-	human
hg19_0881	Cistrome_ChIP	CUTLL1	NOTCH1	CUTLL1	22495751	T_lymphocyte	EBV-	human
hg19_0115	Cistrome_ChIP	Dendritic_Cell	CBFA2T3	DendriticCell	22495751	dendritic_cell	EBV-	human
hg19_1371	Cistrome_ChIP	Dendritic_Cell	TCF4	DendriticCell	22495751	dendritic_cell	EBV-	human
hg19_0102	Cistrome_ChIP	DND-41	BRD4	DND-41	22495751	T_lymphocyte	EBV-	human
hg19_0103	Cistrome_ChIP	DND-41	BRD4	DND-41_Persisters	22495751	T_lymphocyte	EBV-	human
hg19_1413	Cistrome_ChIP	GM06993	TP53	GM06993	22495751	B_lymphocyte	EBV+	human
hg19_1057	Cistrome_ChIP	GM10847	RELA	GM10847	22495751	B_lymphocyte	EBV+	human
hg19_1466	Cistrome_ChIP	GM10855	VDR	GM10855	22495751	B_lymphocyte	EBV+	human
hg19_1467	Cistrome_ChIP	GM10861	VDR	GM10861	22495751	B_lymphocyte	EBV+	human
hg19_0044	Cistrome_ChIP	GM12878	BATF	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0311	Cistrome_ChIP	GM12878	ELF1	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0325	Cistrome_ChIP	GM12878	ELK1	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0337	Cistrome_ChIP	GM12878	EP300	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0405	Cistrome_ChIP	GM12878	ETS1	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0512	Cistrome_ChIP	GM12878	GABPA	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0653	Cistrome_ChIP	GM12878	IRF4	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0697	Cistrome_ChIP	GM12878	MAX	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0768	Cistrome_ChIP	GM12878	MYC	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0836	Cistrome_ChIP	GM12878	NFATC1	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0857	Cistrome_ChIP	GM12878	NFYA	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0866	Cistrome_ChIP	GM12878	NFYB	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0928	Cistrome_ChIP	GM12878	PAX5	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0952	Cistrome_ChIP	GM12878	PML	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_1221	Cistrome_ChIP	GM12878	SP1	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_1314	Cistrome_ChIP	GM12878	STAT5A	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_1414	Cistrome_ChIP	GM12878	TP53	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_1478	Cistrome_ChIP	GM12878	YY1	GM12878	22495751	B_lymphocyte	EBV+	human
hg19_0929	Cistrome_ChIP	GM12891	PAX5	GM12891	22495751	B_lymphocyte	EBV+	human
hg19_1058	Cistrome_ChIP	GM12891	RELA	GM12891	22495751	B_lymphocyte	EBV+	human
hg19_1248	Cistrome_ChIP	GM12891	SPI1	GM12891	22495751	B_lymphocyte	EBV+	human
hg19_1479	Cistrome_ChIP	GM12891	YY1	GM12891	22495751	B_lymphocyte	EBV+	human
hg19_0930	Cistrome_ChIP	GM12892	PAX5	GM12892	22495751	B_lymphocyte	EBV+	human
hg19_1059	Cistrome_ChIP	GM12892	RELA	GM12892	22495751	B_lymphocyte	EBV+	human
hg19_1480	Cistrome_ChIP	GM12892	YY1	GM12892	22495751	B_lymphocyte	EBV+	human
hg19_1060	Cistrome_ChIP	GM15510	RELA	GM15510	22495751	B_lymphocyte	EBV+	human
hg19_1061	Cistrome_ChIP	GM18505	RELA	GM18505	22495751	B_lymphocyte	EBV+	human
hg19_1062	Cistrome_ChIP	GM18526	RELA	GM18526	22495751	B_lymphocyte	EBV+	human
hg19_1063	Cistrome_ChIP	GM18951	RELA	GM18951	22495751	B_lymphocyte	EBV+	human
hg19_1064	Cistrome_ChIP	GM19099	RELA	GM19099	22495751	B_lymphocyte	EBV+	human
hg19_1065	Cistrome_ChIP	GM19193	RELA	GM19193	22495751	B_lymphocyte	EBV+	human
hg19_0533	Cistrome_ChIP	HL-60	GABPA	HL-60	22495751	promyelocyte	EBV-	human
